22:30:27.644670 ,inicio ,0
22:30:28.618745 , fim, 0
22:30:28.720916 ,inicio ,1
22:30:29.338178 , fim, 1
22:30:29.440245 ,inicio ,2
22:30:30.047149 , fim, 2
22:30:30.149125 ,inicio ,3
22:30:31.226325 , fim, 3
22:30:31.328836 ,inicio ,4
22:30:31.994983 , fim, 4
22:30:32.096954 ,inicio ,5
22:30:32.726369 , fim, 5
22:30:32.828633 ,inicio ,6
22:30:33.458724 , fim, 6
22:30:33.560563 ,inicio ,7
22:30:34.176228 , fim, 7
22:30:34.278375 ,inicio ,8
22:30:34.892361 , fim, 8
22:30:34.994374 ,inicio ,9
22:30:35.624536 , fim, 9
22:30:35.726634 ,inicio ,10
22:30:36.327572 , fim, 10
