22:34:10.191268 ,inicio ,0
22:34:10.791851 , fim, 0
22:34:10.893904 ,inicio ,1
22:34:11.521483 , fim, 1
22:34:11.625124 ,inicio ,2
22:34:12.245398 , fim, 2
22:34:12.347295 ,inicio ,3
22:34:13.393224 , fim, 3
22:34:13.495132 ,inicio ,4
22:34:14.113651 , fim, 4
22:34:14.215599 ,inicio ,5
22:34:15.286317 , fim, 5
22:34:15.388674 ,inicio ,6
22:34:16.011852 , fim, 6
22:34:16.114595 ,inicio ,7
22:34:16.742199 , fim, 7
22:34:16.847463 ,inicio ,8
22:34:17.464596 , fim, 8
22:34:17.566433 ,inicio ,9
22:34:18.164843 , fim, 9
22:34:18.267108 ,inicio ,10
22:34:18.885726 , fim, 10
