21:04:00.546446 ,inicio ,0
21:04:01.425175 , fim, 0
21:04:01.530486 ,inicio ,1
21:04:02.160026 , fim, 1
21:04:02.262088 ,inicio ,2
21:04:02.884890 , fim, 2
21:04:02.987375 ,inicio ,3
21:04:04.076389 , fim, 3
21:04:04.180477 ,inicio ,4
21:04:04.810680 , fim, 4
21:04:04.913364 ,inicio ,5
21:04:05.548251 , fim, 5
21:04:05.651966 ,inicio ,6
21:04:06.266980 , fim, 6
21:04:06.370336 ,inicio ,7
21:04:07.435313 , fim, 7
21:04:07.538391 ,inicio ,8
21:04:08.159650 , fim, 8
21:04:08.262916 ,inicio ,9
21:04:08.901055 , fim, 9
21:04:09.003004 ,inicio ,10
21:04:09.612126 , fim, 10
