22:05:17.253291 ,inicio ,0
22:05:17.884376 , fim, 0
22:05:17.987640 ,inicio ,1
22:05:18.653495 , fim, 1
22:05:18.758805 ,inicio ,2
22:05:19.368690 , fim, 2
22:05:19.470501 ,inicio ,3
22:05:20.087379 , fim, 3
22:05:20.189724 ,inicio ,4
22:05:20.813346 , fim, 4
22:05:20.915790 ,inicio ,5
22:05:21.976383 , fim, 5
22:05:22.078463 ,inicio ,6
22:05:22.694198 , fim, 6
22:05:22.796399 ,inicio ,7
22:05:23.456646 , fim, 7
22:05:23.558635 ,inicio ,8
22:05:24.176826 , fim, 8
22:05:24.279368 ,inicio ,9
22:05:25.373172 , fim, 9
22:05:25.474880 ,inicio ,10
22:05:26.086557 , fim, 10
