22:01:01.386801 ,inicio ,0
22:01:02.294978 , fim, 0
22:01:02.397095 ,inicio ,1
22:01:03.004991 , fim, 1
22:01:03.107053 ,inicio ,2
22:01:03.716458 , fim, 2
22:01:03.818121 ,inicio ,3
22:01:04.440241 , fim, 3
22:01:04.541959 ,inicio ,4
22:01:05.146125 , fim, 4
22:01:05.247957 ,inicio ,5
22:01:05.869764 , fim, 5
22:01:05.972045 ,inicio ,6
22:01:06.575846 , fim, 6
22:01:06.677696 ,inicio ,7
22:01:07.319943 , fim, 7
22:01:07.422324 ,inicio ,8
22:01:08.540327 , fim, 8
22:01:08.643243 ,inicio ,9
22:01:09.270684 , fim, 9
22:01:09.373241 ,inicio ,10
22:01:10.016551 , fim, 10
