22:31:35.987336 ,inicio ,0
22:31:36.610484 , fim, 0
22:31:36.712173 ,inicio ,1
22:31:37.333781 , fim, 1
22:31:37.436139 ,inicio ,2
22:31:38.069657 , fim, 2
22:31:38.171900 ,inicio ,3
22:31:39.215093 , fim, 3
22:31:39.317107 ,inicio ,4
22:31:39.930795 , fim, 4
22:31:40.032905 ,inicio ,5
22:31:40.647144 , fim, 5
22:31:40.749323 ,inicio ,6
22:31:41.798527 , fim, 6
22:31:41.900357 ,inicio ,7
22:31:42.534621 , fim, 7
22:31:42.636538 ,inicio ,8
22:31:43.251965 , fim, 8
22:31:43.354105 ,inicio ,9
22:31:43.964599 , fim, 9
22:31:44.066332 ,inicio ,10
22:31:45.143167 , fim, 10
